stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
Lipid nanoparticles	Lipid nanoparticles	Lipid nanoparticles	2	6,29455750551	36,2643122592	473,169192717	6,0	61,0	 
navigation system	navigation system	navigation system	2	9,44183625827	60,9410505705	165,228147108	2,0	41,0	 
breast cancer primary	primary breast cancer	primary breast cancer|&|primary breast cancers|&|primary cancer in the breast	3	25,8142535027	121,783915081	227,3782447	14,0	263,0	 
acid retinoic	retinoic acid	retinoic acid	2	23,6045906457	104,791665436	270,863034861	22,0	338,0	 
indicator quality	quality indicator	quality indicator|&|quality indicators	2	4,72091812914	28,5563577056	198,249475462	3,0	35,0	 
evaporation method	evaporation method	evaporation method|&|evaporation methods	2	4,72091812914	28,5563577056	181,106896224	3,0	61,0	 
B group	group B	group B	2	4,72091812914	28,5563577056	183,449283058	3,0	30,0	 
event molecular	molecular events	molecular events	2	4,72091812914	28,5563577056	123,014360068	3,0	57,0	 
blood peripheral sample	peripheral blood samples	peripheral blood samples	3	3,9714236158	24,709315429	140,25406715	2,0	12,0	 
pH variation	variations in pH	variations in pH|&|pH variations|&|pH variation	3	4,72091812914	28,5563577056	182,185511862	3,0	40,0	 
Reoperative biopsy lymph node sentinel	Reoperative sentinel lymph node biopsy	Reoperative sentinel lymph node biopsy	5	3,9714236158	24,709315429	248,584171585	4,0	72,0	 
mental retardation	mental retardation	mental retardation	2	14,1627543874	71,7778293106	161,098776229	8,0	119,0	 
breast cancer detection lymph node sentinel	detection of sentinel lymph nodes in breast cancer	detection of sentinel lymph nodes in breast cancer|&|sentinel lymph node detection in breast cancer|&|Sentinel lymph node detection for breast cancer	8	11,9142708474	61,0387819236	763,917956745	6,0	83,0	 
neural precursor	neural precursors	neural precursors	2	4,72091812914	30,4705252852	243,658152245	2,0	47,0	 
breast cancer nomogram	breast cancer nomogram	breast cancer nomogram|&|breast cancer nomograms	3	5,95713542369	34,648562585	366,609898472	7,0	126,0	 
melanoma thin	thin melanomas	thin melanomas|&|thin melanoma	2	17,3100331402	83,865835778	155,675991851	14,0	105,0	 
activity burst	burst activity	burst activity	2	4,72091812914	30,4705252852	240,874148115	5,0	67,0	 
MN expression	expression of the MN	expression of the MN|&|expression of both MN	4	4,72091812914	28,5563577056	284,954168219	3,0	39,0	 
glucose-stimulated insulin secretion	glucose-stimulated insulin secretion	glucose-stimulated insulin secretion	3	7,94284723159	43,9130686939	794,823307931	6,0	95,0	 
cell differentiation embryonic male mouse stem vitro	vitro differentiation of male mouse embryonic stem cells	vitro differentiation of male mouse embryonic stem cells	8	3,9714236158	24,709315429	461,713243709	2,0	33,0	 
antral follicle	antral follicles	antral follicles	2	4,72091812914	28,5563577056	229,898368645	3,0	31,0	 
Transmucosal tobramycin transport	Transmucosal transport of tobramycin	Transmucosal transport of tobramycin	4	3,9714236158	24,709315429	212,894946961	2,0	26,0	 
causative mutation	causative mutations	causative mutations|&|causative mutation	2	6,29455750551	36,2643122592	321,134427925	4,0	56,0	 
camp coupling spatiotemporal transporter	Spatiotemporal coupling of cAMP transporter	Spatiotemporal coupling of cAMP transporter	5	3,9714236158	24,709315429	146,636412041	2,0	23,0	 
cell mouse	mouse cells	mouse cells|&|mouse cell	2	6,29455750551	36,2643122592	211,943652022	4,0	67,0	 
complete cultured epithelium laminar pigment reconstruction retinal structure	Complete reconstruction of the retinal laminar structure from a cultured retinal pigment epithelium	Complete reconstruction of the retinal laminar structure from a cultured retinal pigment epithelium	13	3,9714236158	24,709315429	309,626170384	2,0	30,0	 
product reaction terminal	terminal reaction product	terminal reaction product	3	3,9714236158	27,4620965111	297,960581257	1,0	17,0	 
quantitative real time	real time quantitative	real time quantitative|&|quantitative real time	3	3,9714236158	24,709315429	220,093768623	2,0	29,0	 
drainage pattern	drainage patterns	drainage patterns|&|drainage pattern	2	14,1627543874	75,8521998443	155,638348517	17,0	265,0	 
activity kinase	kinase activity	kinase activity	2	7,86819688189	43,5746529293	334,900815156	9,0	132,0	 
DNA methylation	DNA methylation	DNA methylation	2	36,1937056567	154,081660906	150,303978226	24,0	418,0	 
biopsy core needle	core needle biopsy	core needle biopsy	3	5,95713542369	34,648562585	423,939774746	3,0	47,0	 
Gillespie-like finding ocular syndrome	Ocular findings in Gillespie-like syndrome	Ocular findings in Gillespie-like syndrome	5	3,9714236158	24,709315429	565,880205025	2,0	2,0	 
obstruction unilateral ureteral	unilateral ureteral obstruction	unilateral ureteral obstruction	3	11,9142708474	61,0387819236	208,246528087	6,0	71,0	 
blue dye isosulfan	isosulfan blue dye	isosulfan blue dye|&|isosulfan Blue dye	3	25,8142535027	116,603750877	488,246043057	16,0	258,0	 
soluble water	water soluble	water soluble	2	4,72091812914	28,5563577056	146,520657797	5,0	66,0	 
group other	other groups	other groups	2	6,29455750551	36,2643122592	164,609260669	4,0	36,0	 
comparative correlation pain scale	correlation between the comparative pain scale	correlation between the comparative pain scale|&|correlation with the comparative pain scale	6	3,9714236158	24,709315429	405,516331976	2,0	35,0	 
assay reporter	reporter assay	reporter assay|&|Reporter assays|&|reporter assays	2	7,86819688189	43,5746529293	291,836590553	11,0	193,0	 
cell connective tissue	connective tissue cells	connective tissue cells	3	3,9714236158	24,709315429	309,104496096	2,0	32,0	 
delivery system	delivery system	delivery system|&|delivery systems	2	20,4573118929	95,3843606036	945,206830242	31,0	552,0	 
large protein	large protein	large protein	2	4,72091812914	28,5563577056	260,285793937	3,0	32,0	 
radioguided surgery	radioguided surgery	radioguided surgery	2	4,72091812914	28,5563577056	383,024170989	5,0	94,0	 
calcium transient	calcium transients	calcium transients|&|calcium transient	2	6,29455750551	36,2643122592	229,80054531	4,0	52,0	 
acyl chain side	acyl side chain	acyl side chain	3	5,95713542369	41,1931447667	172,059462818	1,0	17,0	 
profile release	release profiles	release profiles|&|release profile	2	11,0154756347	58,9961554345	569,755913364	7,0	128,0	 
histone modification	histone modifications	histone modifications	2	12,589115011	67,4241776394	222,292700014	6,0	88,0	 
cell flexibility neural stem	Flexibility of neural stem cells	Flexibility of neural stem cells	5	3,9714236158	24,709315429	84,8952794858	2,0	12,0	 
family member other	other family members	other family members|&|other members of the family	3	7,94284723159	46,1980834466	295,266512526	3,0	42,0	 
expression gene neurotrophin-3	expression of the neurotrophin-3 gene	expression of the neurotrophin-3 gene	5	3,9714236158	24,709315429	136,361935048	2,0	21,0	 
metastasis patient	metastases in patients	metastases in patients|&|metastasis in patients|&|patients with metastases|&|patients with metastasis|&|metastasis in these patients	3	22,0309512693	99,3255329962	270,512750478	14,0	177,0	 
breast cancer male	male breast cancer	male breast cancer|&|Male breast cancer|&|male breast cancers	3	5,95713542369	37,0639731435	154,79819149	2,0	26,0	 
risk score	risk score	risk score	2	4,72091812914	30,4705252852	257,597396686	2,0	31,0	 
beta cell islet	islet beta cell	islet beta cell	3	3,9714236158	27,4620965111	164,868391261	1,0	24,0	 
detection node sensitivity	node detection sensitivity	node detection sensitivity	3	3,9714236158	24,709315429	355,143248827	2,0	16,0	 
apoptosis proliferation	proliferation and apoptosis	proliferation and apoptosis|&|proliferation or apoptosis	3	7,86819688189	43,5746529293	179,245416762	5,0	43,0	 
cell kidney rat	rat kidney cells	rat kidney cells|&|rat kidney cell	3	11,9142708474	61,0387819236	3977,3663468	40,0	664,0	 
antigen carcinoembryonic	carcinoembryonic antigen	carcinoembryonic antigen	2	4,72091812914	28,5563577056	235,994980248	3,0	70,0	 
Sp-1 binding site	Sp-1 binding site	Sp-1 binding site	3	5,95713542369	41,1931447667	262,859618081	1,0	13,0	 
fence function junction tight	tight junctions and fence function	tight junctions and fence function	5	3,9714236158	24,709315429	263,174786601	2,0	19,0	 
gene regulation	gene regulation	gene regulation|&|regulation of genes	2	18,8836725165	89,690196444	149,193183219	11,0	192,0	 
Recent advance	Recent advances	Recent advances	2	4,72091812914	28,5563577056	110,693708186	3,0	42,0	 
brain cell mammalian mitosis neural precursor terminal	terminal mitosis of neural precursor cells in the mammalian brain	terminal mitosis of neural precursor cells in the mammalian brain	10	3,9714236158	24,709315429	717,593667608	2,0	17,0	 
second surgery	second surgery	second surgery	2	4,72091812914	28,5563577056	118,754792347	3,0	29,0	 
embryonic nuclear rhesus transfer	rhesus nuclear transfer embryonic	rhesus nuclear transfer embryonic	4	3,9714236158	24,709315429	65,8300521643	2,0	16,0	 
cell function	cell function	cell function|&|cell functions|&|functions cell|&|cells as a function	2	12,589115011	63,8025149427	264,281720218	16,0	205,0	 
intracellular pH	intracellular pH	intracellular pH	2	4,72091812914	28,5563577056	79,1312560624	3,0	41,0	 
analysis histological	histological analysis	histological analysis|&|Histological analysis	2	7,86819688189	45,330390324	89,2614307065	4,0	39,0	 
chain polymerase reaction transcription	transcription polymerase chain reaction	transcription polymerase chain reaction	4	5,95713542369	34,648562585	772,452934907	9,0	167,0	 
inhibition kinase	kinase inhibition	kinase inhibition	2	4,72091812914	30,4705252852	65,8160400958	2,0	18,0	 
Estrogen-like alcohol fluorotelomer property	Estrogen-like properties of fluorotelomer alcohols	Estrogen-like properties of fluorotelomer alcohols	5	3,9714236158	24,709315429	157,577849971	2,0	32,0	 
diagnostic examination intraoperative value	diagnostic value of intraoperative examination	diagnostic value of intraoperative examination|&|Diagnostic value of intraoperative examination	5	5,95713542369	34,648562585	269,875841771	5,0	68,0	 
cell line stem	stem cell lines	stem cell lines|&|stem cell line	3	7,94284723159	46,1980834466	258,23406492	5,0	74,0	 
anophthalmia microphthalmia	anophthalmia and microphthalmia	anophthalmia and microphthalmia|&|anophthalmia or microphthalmia	3	4,72091812914	28,5563577056	185,069258998	3,0	51,0	 
acid lysophosphatidic	lysophosphatidic acid	lysophosphatidic acid	2	4,72091812914	28,5563577056	259,431129915	5,0	92,0	 
region untranslated	untranslated region	untranslated region|&|untranslated regions	2	12,589115011	63,8025149427	174,648365075	8,0	183,0	 
chiasm formation human optic	Optic chiasm formation in humans	Optic chiasm formation in humans	5	3,9714236158	24,709315429	295,817395296	2,0	13,0	 
recurrence systemic	systemic recurrence	systemic recurrence	2	4,72091812914	28,5563577056	319,883527585	3,0	33,0	 
birth defect	birth defects	birth defects	2	9,44183625827	50,5681332296	460,348099551	6,0	74,0	 
fluorescent light	fluorescent light	fluorescent light	2	4,72091812914	28,5563577056	192,161406969	3,0	41,0	 
additional metastasis nodal	additional nodal metastases	additional nodal metastases|&|additional nodal metastasis	3	11,9142708474	61,0387819236	286,949522118	8,0	193,0	 
alpha regulatory subunit	alpha regulatory subunit	alpha regulatory subunit	3	5,95713542369	37,0639731435	164,245779565	2,0	50,0	 
high identity sequence	high sequence identity	high sequence identity	3	5,95713542369	34,648562585	147,436374021	3,0	43,0	 
brainstem human response	brainstem responses in humans	brainstem responses in humans	4	3,9714236158	24,709315429	80,8225465939	2,0	20,0	 
Rb cell expression	expression in Rb cells	expression in Rb cells	4	3,9714236158	24,709315429	278,110226526	2,0	21,0	 
implication nodal prognostic staging	prognostic implications for nodal staging	prognostic implications for nodal staging	5	3,9714236158	24,709315429	467,888436739	2,0	50,0	 
melanoma microarray protein	protein microarray in melanoma	protein microarray in melanoma	4	3,9714236158	24,709315429	173,138993863	2,0	36,0	 
metastasis non-SLN presence	presence of non-SLN metastases	presence of non-SLN metastases	4	5,95713542369	34,648562585	714,291749574	3,0	37,0	 
NRK-52E cell line	cell line NRK-52E	cell line NRK-52E|&|NRK-52E cell line|&|cell line and the NRK-52E	3	15,8856944632	78,9362519638	428,562616219	10,0	168,0	 
cleft lip	cleft lip	cleft lip|&|Cleft lip	2	29,8991481512	132,736109552	952,776439604	25,0	292,0	 
anesthetic cream topical use	use of topical anesthetic cream	use of topical anesthetic cream	5	3,9714236158	24,709315429	133,969401092	2,0	26,0	 
dissection node	node dissection	node dissection|&|node dissections	2	12,589115011	67,4241776394	3514,94899233	194,0	3177,0	 
cornea injured mouse	injured mouse cornea	injured mouse cornea	3	5,95713542369	34,648562585	394,700550053	3,0	32,0	 
protein synthesis	protein synthesis	protein synthesis|&|synthesis of proteins|&|synthesis of these proteins	2	29,8991481512	132,736109552	279,481821389	15,0	250,0	 
clinical diagnostic feasibility	Clinical feasibility and diagnostic	Clinical feasibility and diagnostic	4	3,9714236158	24,709315429	416,268778232	2,0	25,0	 
temperature-sensitive viral	Temperature-sensitive viral	Temperature-sensitive viral|&|temperature-sensitive viral	2	4,72091812914	28,5563577056	431,904346271	3,0	29,0	 
concentration range	concentration range	concentration range	2	7,86819688189	43,5746529293	173,268653933	5,0	80,0	 
factor neurogenic transcription	transcription factor neurogenic	transcription factor neurogenic|&|neurogenic transcription factors|&|neurogenic transcription factor	3	5,95713542369	34,648562585	346,567855186	5,0	67,0	 
NRK-52E cell state	states of NRK-52E cells	states of NRK-52E cells	4	3,9714236158	24,709315429	294,667139962	2,0	19,0	 
repeat trinucleotide	trinucleotide repeat	trinucleotide repeat	2	9,44183625827	54,3964683888	92,2342362897	6,0	95,0	 
pattern specific	specific patterns	specific patterns|&|specific pattern	2	4,72091812914	28,5563577056	196,314403643	3,0	68,0	 
biology cell	cell biology	cell biology	2	6,29455750551	36,2643122592	227,54230441	4,0	54,0	 
